stop_id,stop_name,stop_lat,stop_lon,day_type,hour_bucket,score_1_to_5,pct_on_time,avg_delay_minutes,delay_stddev_minutes,sample_size,last_updated
8230DB002349,Alderwood,53.285029,-6.378472,weekday,pm_peak,2.0,61.9,5.28,5.39,42,2026-07-03 02:53:36.731074
8230DB003457,Garters Lane,53.2900246105636,-6.43828275201961,weekday,pm_peak,,0.0,10.37,6.67,2,2026-07-03 02:53:36.731074
8230DB003457,Garters Lane,53.2900246105636,-6.43828275201961,weekday,evening,,33.3,11.82,6.21,3,2026-07-03 02:53:36.731074
8230GD10150,Mac Uilliam,53.285323,-6.417757,weekday,evening,,0.0,11.9,4.92,11,2026-07-03 02:53:36.731074
8260DB003923,Thornhill,53.352079,-6.546558,weekday,evening,3.5,80.0,1.59,3.09,50,2026-07-03 02:53:36.731074
8240DB006117,Swords Pavilions,53.45438,-6.215875,weekday,pm_peak,,93.3,1.8,0.95,15,2026-07-03 02:53:36.731074
8240DB007115,Nevinstown Lane,53.444976,-6.227139,weekday,pm_peak,,100.0,3.85,,1,2026-07-03 02:53:36.731074
8230DB003400,Newcastle M,53.295381,-6.490578,weekday,pm_peak,,100.0,-0.23,,1,2026-07-03 02:53:36.731074
8240DB007124,Ballycoolin Bus Pk,53.408434,-6.358154,weekday,pm_peak,,100.0,3.36,0.79,3,2026-07-03 02:53:36.731074
8240DB002290,Waterville Terrace,53.3918736208018,-6.37221829316682,weekday,evening,,100.0,3.77,0.54,7,2026-07-03 02:53:36.731074
8240DB002290,Waterville Terrace,53.3918736208018,-6.37221829316682,weekday,pm_peak,,100.0,3.75,,1,2026-07-03 02:53:36.731074
8220DB004365,Poppintree Park,53.402145,-6.283514,weekday,pm_peak,,0.0,6.7,,1,2026-07-03 02:53:36.731074
8220DB001646,DCU Collins Avenue,53.3871546494696,-6.25698053714182,weekday,pm_peak,,75.0,6.41,4.22,4,2026-07-03 02:53:36.731074
8240DB001877,St Ciaran's Church,53.393422,-6.418531,weekday,evening,,0.0,17.54,3.47,3,2026-07-03 02:53:36.731074
8240DB001841,Church Road,53.386121,-6.37552,weekday,pm_peak,,0.0,7.37,,1,2026-07-03 02:53:36.731074
8240DB003591,Robswall Crescent,53.4446336150103,-6.12756532644512,weekday,pm_peak,,100.0,2.0,,1,2026-07-03 02:53:36.731074
8240DB003078,Forrest Little,53.440265,-6.249644,weekday,evening,,100.0,4.18,0.49,2,2026-07-03 02:53:36.731074
8240DB005071,Alexion,53.410962,-6.376017,weekday,evening,,100.0,2.22,2.06,16,2026-07-03 02:53:36.731074
8240DB003806,Hampton Cove,53.602977,-6.167684,weekday,evening,,63.2,3.56,4.81,19,2026-07-03 02:53:36.731074
8240DB003678,Swords Village,53.455323,-6.222431,weekday,pm_peak,,52.4,9.59,5.56,21,2026-07-03 02:53:36.731074
8240DB003767,Rosewood,53.522035,-6.148662,weekday,evening,3.0,76.3,3.35,5.96,38,2026-07-03 02:53:36.731074
8240DB003837,Rush Main Street,53.522017,-6.092616,weekday,pm_peak,,0.0,16.85,,1,2026-07-03 02:53:36.731074
8240DB003855,Barrack Lane,53.523066,-6.167726,weekday,evening,2.0,71.7,4.59,6.77,46,2026-07-03 02:53:36.731074
8240DB003719,Newbridge House,53.481912,-6.177261,weekday,evening,,100.0,-5.42,0.0,4,2026-07-03 02:53:36.731074
8240DB003718,Newbridge Demesne,53.480457,-6.16209,weekday,evening,,100.0,0.8,,1,2026-07-03 02:53:36.731074
8240DB003736,Portrane,53.49337,-6.111733,weekday,pm_peak,,100.0,1.98,0.19,2,2026-07-03 02:53:36.731074
8240DB003752,Seatown West,53.462413,-6.218144,weekday,evening,,100.0,1.55,0.0,2,2026-07-03 02:53:36.731074
8250DB003247,Garden Centre,53.272645,-6.146127,weekday,evening,,100.0,-1.99,0.75,4,2026-07-03 02:53:36.731074
8350DB004416,Roseville Court,53.208344,-6.114739,weekday,pm_peak,,10.0,5.35,1.96,10,2026-07-03 02:53:36.731074
8250DB003140,Stonebridge Close,53.2297600975643,-6.12420860762254,weekday,pm_peak,,100.0,1.2,0.52,2,2026-07-03 02:53:36.731074
8350DB005167,Woodview Drive,53.188602,-6.109425,weekday,pm_peak,,100.0,0.88,0.16,2,2026-07-03 02:53:36.731074
8250DB003536,Ballybrack Village,53.253861,-6.124968,weekday,evening,,100.0,3.72,,1,2026-07-03 02:53:36.731074
8240DB004330,Swords Pavilions,53.454786,-6.218358,weekday,pm_peak,,80.0,-2.19,7.11,5,2026-07-03 02:53:36.731074
8240DB003691,Swords Village,53.455977,-6.221696,weekday,evening,4.5,92.5,0.72,2.62,40,2026-07-03 02:53:36.731074
8240DB003620,Biscayne Estate,53.446472,-6.134214,weekday,evening,,100.0,-0.37,,1,2026-07-03 02:53:36.731074
8240DB003623,The Old Golf Lnks,53.450657,-6.143743,weekday,pm_peak,,100.0,-1.52,0.0,2,2026-07-03 02:53:36.731074
8240DB003635,Hanlon's Lane,53.44964,-6.16053,weekday,evening,,100.0,1.9,2.83,5,2026-07-03 02:53:36.731074
8240DB006054,Malahide Rd Rnbt,53.454237,-6.215896,weekday,evening,4.5,97.4,0.23,1.58,39,2026-07-03 02:53:36.731074
8220DB000500,Ballybough Road,53.359036,-6.246289,weekday,pm_peak,,100.0,0.69,3.57,3,2026-07-03 02:53:36.731074
8220DB001378,Mayfield Rd,53.338828,-6.301376,weekday,pm_peak,,100.0,-7.2,,1,2026-07-03 02:53:36.731074
8220DB004514,St James's Hospital,53.34006,-6.29674,weekday,pm_peak,,100.0,0.55,5.19,4,2026-07-03 02:53:36.731074
8220DB001423,Drimnagh Rd,53.324999,-6.319445,weekday,evening,4.5,100.0,-0.66,2.63,45,2026-07-03 02:53:36.731074
8220DB001424,Crumlin Hospl,53.325663,-6.316747,weekday,evening,,100.0,1.58,1.43,6,2026-07-03 02:53:36.731074
8240DB000940,Coast Road,53.406555,-6.134728,weekday,evening,,100.0,2.72,0.19,2,2026-07-03 02:53:36.731074
8220DB001419,Brandon Road,53.3277177272247,-6.3229112430655,weekday,pm_peak,,52.0,12.76,13.04,25,2026-07-03 02:53:36.731074
8220DB007154,Walkinstown Grn,53.32088,-6.333972,weekday,pm_peak,,100.0,-13.3,,1,2026-07-03 02:53:36.731074
8220DB001939,Thomas Street,53.342998,-6.280665,weekday,pm_peak,1.0,58.3,6.62,5.48,36,2026-07-03 02:53:36.731074
