route_id,day_type,hour_bucket,score_1_to_5,pct_on_time,avg_delay_minutes,delay_stddev_minutes,cancellation_rate,sample_size,last_updated
1 43 c a,weekday,pm_peak,3.5,78.3,1.85,2.65,0.0,226,2026-07-02 18:20:24.428456
1 47 c a,weekday,evening,4.5,99.2,0.12,0.8,0.0,480,2026-07-02 18:20:24.428456
1 70 c a,weekday,pm_peak,2.0,70.7,3.99,5.93,0.0,482,2026-07-02 18:20:24.428456
1 70 c a,weekday,evening,4.5,96.3,0.53,2.66,0.0,670,2026-07-02 18:20:24.428456
1 74,weekday,evening,3.5,89.8,0.79,2.83,0.0,1491,2026-07-02 18:20:24.428456
1 7A c a,weekday,evening,4.5,99.6,0.08,0.76,0.0,1534,2026-07-02 18:20:24.428456
1 F1 a,weekday,evening,4.5,92.5,0.89,3.73,0.0,2153,2026-07-02 18:20:24.428456
1 F2 a,weekday,evening,4.5,97.8,0.31,1.73,0.0,2549,2026-07-02 18:20:24.428456
1 H1 c a,weekday,evening,4.5,100.0,0.05,0.4,0.0,1086,2026-07-02 18:20:24.428456
1 L54 b,weekday,pm_peak,4.5,100.0,-0.3,1.85,0.0,230,2026-07-02 18:20:24.428456
1 L54 b,weekday,evening,4.5,99.7,0.08,0.56,0.0,658,2026-07-02 18:20:24.428456
1 X25 c,weekday,pm_peak,4.0,100.0,-9.61,6.82,0.0,68,2026-07-02 18:20:24.428456
1 150 c a,weekday,evening,4.5,98.8,0.13,0.85,0.0,823,2026-07-02 18:20:24.428456
